zoxide	z <partial>: jump to a frecent directory. zi: interactive fzf picker. Learns from your cd usage over time.
zoxide	repos: fzf picker for all projects under ~/Documents/MyRepos.
direnv	direnv allow: activate a .envrc in the current directory. direnv edit: open it safely. Unloads automatically on cd out.
direnv	Add `use flake` to .envrc to auto-activate a flake.nix dev shell via nix-direnv.
gh	gh pr create: open a pull request from the current branch. gh pr view --web: open it in the browser.
gh	gh run list: see recent CI runs. gh run watch: stream a live run. gh issue list: browse open issues.
lazygit	lazygit: full TUI for git. Press ?: help. Space: stage. c: commit. p: push. Arrow keys navigate.
lazygit	In lazygit, press e on a file to open it in $EDITOR. d: discard changes. Enter: view diff.
chezmoi	chezmoi diff: see what would change. chezmoi apply: apply changes. chezmoi edit <file>: edit a managed file.
chezmoi	chezmoi add <file>: start managing a new dotfile. chezmoi re-add: sync changes made directly to the target.
stream-safe	STREAM_MODE=1 is your reminder to avoid leaking secrets on stream. env-public shows env vars with secrets filtered.
stream-safe	Before streaming: close .env files, clear history with Ctrl+L, check terminal scrollback for secrets.
kitty	kitty_mod+t: new tab with cwd. kitty_mod+enter: new window with cwd. kitty_mod+n: new OS window with cwd.
kitty	ctrl+plus / ctrl+minus: increase/decrease font size. ctrl+0: reset font size.
niri	Mod+T: open terminal. Mod+P: fuzzel launcher. Mod+Shift+N: toggle stream mode.
niri	Mod+S: screenshot. Ctrl+Mod+S: screenshot screen. Alt+Mod+S: screenshot window.
niri	Mod+BracketLeft/Right: consume/expel window into column. Mod+Comma/Period: same for columns.
mise	mise tasks: list available tasks in the current project. mise run <task>: run one.
ctx:git	This is a Git repo: lazygit for a visual overview, gh repo view --web to open on GitHub.
ctx:git	git log --oneline -10: quick recent history. delta makes diffs readable if set as your pager.
ctx:envrc	This repo has .envrc: run `direnv allow` to activate it. `direnv edit` opens it safely.
ctx:flake	This repo has flake.nix: add `use flake` to .envrc to auto-activate the dev shell via nix-direnv.
ctx:package	This repo has package.json: check for a `mise.toml` to see if task runners are defined.
ctx:godot	This looks like a Godot project: the Neovim GDScript LSP is active. Use the debugger via DAP.
ctx:dotfiles	This is the dotfiles repo: chezmoi diff to see pending changes, chezmoi apply to deploy them.
ctx:stream	STREAM MODE is active: avoid cat .env, use env-public, and check your terminal scrollback.
